Time,Data,Simulation
161.374,0.8999999999999999,0.0
161.376,0.8999999999999999,0.0
161.378,0.8999999999999999,0.0
161.38,0.8999999999999999,0.0
161.382,1.0,0.0
161.384,1.0,0.0
161.386,1.0,0.0
161.388,1.0,0.0
161.39,1.0,0.0
161.392,1.0,0.0
161.394,1.0,0.0
161.396,1.0,0.0
161.398,1.1,0.0
161.4,1.1,0.0
161.402,1.1,0.0
161.404,1.1,0.0
161.406,1.1,0.0
161.408,1.1,0.0
161.41,1.1,0.0
161.412,1.1,0.0
161.414,1.1,0.0
161.416,1.1,0.04126749307254567
161.418,1.1,0.1783655232364706
161.42,1.2000000000000002,0.3145624299659935
161.422,1.1,0.44983151527663157
161.424,1.1,0.58414626432417
161.426,1.1,0.7174803505932011
161.428,1.1,0.8498076410652381
161.43,1.2000000000000002,0.9811022013478053
161.432,1.2000000000000002,1.111338300746835
161.434,1.2000000000000002,1.2404904173152693
161.436,1.2000000000000002,1.3685332428596055
161.438,1.2000000000000002,1.4954416878872125
161.44,1.2000000000000002,1.6211908865265008
161.442,1.2000000000000002,1.7457562014020973
161.444,1.2000000000000002,1.869113228448381
161.446,1.2000000000000002,1.9912378016925634
161.448,1.2000000000000002,2.112105997989966
161.45,1.2000000000000002,2.2316941416952947
161.452,1.2000000000000002,2.3499788093003025
161.454,1.2999999999999998,2.4669368340208453
161.456,1.2000000000000002,2.582545310317795
161.458,1.2000000000000002,2.696781598381151
161.46,1.2000000000000002,2.809623328560942
161.462,1.2000000000000002,2.921048405728306
161.464,1.2999999999999998,3.0310350136061617
161.466,1.2999999999999998,3.1395616190205295
161.468,1.4,3.2466069761116225
161.47,1.2999999999999998,3.3521501304875505
161.472,1.2999999999999998,3.456170423306633
161.474,1.2999999999999998,3.5586474953149185
161.476,1.2999999999999998,3.659561290823955
161.478,1.2999999999999998,3.7588920616154495
161.48,1.4,3.85662037079829
161.482,1.4,3.9527270966035792
161.484,1.4,4.047193436104967
161.486,1.4,4.140000908888607
161.488,1.4,4.231131360658972
161.49,1.4,4.32056696676855
161.492,1.4,4.408290235694488
161.494,1.4,4.494284012449088
161.496,1.5,4.578531481912891
161.498,1.5,4.661016172112124
161.5,1.5999999999999996,4.741721957428133
161.502,1.5999999999999996,4.820633061728237
161.504,1.7000000000000002,4.897734061438455
161.506,1.7000000000000002,4.9730098885465015
161.508,1.7000000000000002,5.046445833525135
161.51,1.7999999999999998,5.118027548195059
161.512,1.9000000000000004,5.187741048516421
161.514,2.0,5.255572717299795
161.516,2.0999999999999996,5.3215093068544785
161.518,2.2,5.385537941563844
161.52,2.2,5.447646120379466
161.522,2.3,5.50782171925039
161.524,2.3,5.5660529934780945
161.526,2.4000000000000004,5.622328579989611
161.528,2.5,5.67663749954378
161.53,2.5999999999999996,5.728969158861909
161.532,2.7,5.77931335267615
161.534,2.7,5.827660265709102
161.536,2.8,5.874000474576669
161.538,2.8,5.9183249496083485
161.54,2.9000000000000004,5.960625056596898
161.542,2.9000000000000004,6.000892558470321
161.544,3.0,6.039119616881029
161.546,3.0,6.075298793722788
161.548,3.0999999999999996,6.1094230525690385
161.55,3.0999999999999996,6.141485760028406
161.552,3.2,6.171480687026385
161.554,3.2,6.1994020100077245
161.556,3.2,6.22524431205603
161.558,3.2,6.249002583938175
161.56,3.2,6.270672225068727
161.562,3.2,6.290249044391908
161.564,3.2,6.307729261186975
161.566,3.2,6.323109505793204
161.568,3.2,6.336386820252728
161.57,3.2,6.347558658875646
161.572,3.2,6.356622888724356
161.574,3.0999999999999996,6.363577790016291
161.576,3.0999999999999996,6.368422056447823
161.578,3.0,6.3711547954371985
161.58,3.0,6.371775528286514
161.582,3.0,6.370284190263932
161.584,3.0,6.366681130604844
161.586,2.9000000000000004,6.360967112432833
161.588,2.8,6.353143312600092
161.59,2.7,6.343211321446832
161.592,2.5999999999999996,6.331173142481391
161.594,2.5999999999999996,6.317031191979135
161.596,2.5,6.300788298500512
161.598,2.5,6.2824477023308605
161.6,2.4000000000000004,6.262013054838471
161.602,2.4000000000000004,6.239488417752082
161.604,2.3,6.2148782623613466
161.606,2.2,6.188187468635073
161.608,2.0999999999999996,6.159421324259421
161.61,2.0,6.128585523600304
161.612,1.9000000000000004,6.095686166583304
161.614,1.9000000000000004,6.060729757494152
161.616,1.7999999999999998,6.02372320370476
161.618,1.7999999999999998,5.984673814316696
161.62,1.7000000000000002,5.943589298725891
161.622,1.5999999999999996,5.900477765114451
161.624,1.5999999999999996,5.855347718859914
161.626,1.5,5.808208060866553
161.628,1.5,5.759068085825468
161.63,1.5,5.70793748039225
161.632,1.5,5.654826321287663
161.634,1.4,5.59974507332888
161.636,1.4,5.542704587378583
161.638,1.4,5.483716098218157
161.64,1.2999999999999998,5.422791222353367
161.642,1.2999999999999998,5.3599419557382575
161.644,1.2999999999999998,5.29518067142445
161.646,1.2999999999999998,5.22852011714485
161.648,1.2999999999999998,5.1599734128162
161.65,1.2999999999999998,5.089554047968335
161.652,1.2999999999999998,5.017275879109993
161.654,1.2999999999999998,4.943153127014174
161.656,1.2999999999999998,4.867200373931651
